ID;Nombre;Partido;Asistencia;Observacion;Hora Ingreso;ID_Sesion;ID_Legislatura
1;Acevedo Sáez María Candelaria;PC;A;;10:23;100;370
2;Aedo Jeldres Eric;DC;A;;12:12;100;370
3;Ahumada Palma Yovana;PDG;A;;10:10;100;370
4;Alessandri Vergara Jorge;UDI;A;;10:55;100;370
5;Alinco Bustos René;IND;A;;10:10;100;370
6;Araya Guerrero Jaime;IND;A;;10:10;100;370
7;Araya Lerdo De Tejada Cristián;PREP;I;MO;-;100;370
8;Arce Castro Mónica;IND;I;MO;-;100;370
9;Arroyo Muñoz Roberto;PDG;A;;12:50;100;370
10;Astudillo Peiretti Danisa;PS;I;IG;-;100;370
11;Barchiesi Chávez Chiara;PREP;A;;10:10;100;370
12;Barrera Moreno Boris;PC;A;;10:10;100;370
13;Barría Angulo Héctor;DC;A;;10:10;100;370
14;Becker Alvear Miguel Ángel;RN;A;;10:10;100;370
15;Bello Campos María Francisca;PCS;I;APLP;-;100;370
16;Beltrán Silva Juan Carlos;RN;I;MO;-;100;370
17;Benavente Vergara Gustavo;UDI;A;;10:10;100;370
18;Berger Fett Bernardo;IND;A;;10:10;100;370
19;Bernales Maldonado Alejandro;LIBERAL;A;;12:58;100;370
20;Bianchi Chelech Carlos;IND;A;;10:10;100;370
21;Bobadilla Muñoz Sergio;UDI;I;MO;-;100;370
22;Bórquez Montecinos Fernando;UDI;A;;10:10;100;370
23;Bravo Castro Ana María;PS;A;;10:26;100;370
24;Bravo Salinas Marta;UDI;A;;10:10;100;370
25;Brito Hasbún Jorge;PRD;I;LM;-;100;370
26;Bugueño Sotelo Félix;FRVS;A;;10:25;100;370
27;Bulnes Núñez Mercedes;IND;I;PECP;-;100;370
28;Calisto Águila Miguel Ángel;DC;I;MO;-;100;370
29;Camaño Cárdenas Felipe;IND;A;;10:10;100;370
30;Cariola Oliva Karol;PC;I;MO;-;100;370
31;Carter Fernández Álvaro;UDI;A;;10:10;100;370
32;Castillo Rojas Nathalie;PC;A;;10:22;100;370
33;Castro Bascuñán José Miguel;RN;A;;10:11;100;370
34;Celis Montt Andrés;RN;A;;10:10;100;370
35;Cicardini Milla Daniella;PS;A;;10:40;100;370
36;Cid Versalovic Sofía;RN;A;;10:38;100;370
37;Cifuentes Lillo Ricardo;DC;I;;-;100;370
38;Coloma Álamos Juan Antonio;UDI;A;;10:28;100;370
39;Concha Smith Sara;PCC;A;;10:10;100;370
40;Cordero Velásquez María Luisa;IND;A;;10:17;100;370
41;Cornejo Lagos Eduardo;UDI;A;;10:10;100;370
42;Cuello Peña Y Lillo Luis Alberto;PC;A;;10:10;100;370
43;De La Carrera Correa Gonzalo;IND;A;;10:23;100;370
44;De Rementería Venegas Tomás;IND;A;;11:34;100;370
45;Del Real Mihovilovic Catalina;RN;A;;10:34;100;370
46;Delgado Riquelme Viviana;PEV;A;;10:13;100;370
47;Donoso Castro Felipe;UDI;A;;12:52;100;370
48;Durán Espinoza Jorge;RN;A;;10:44;100;370
49;Durán Salinas Eduardo;RN;A;;10:21;100;370
50;Flores Oporto Camila;RN;I;LM;-;100;370
51;Fries Monleón Lorena;IND;I;PECP;-;100;370
52;Fuenzalida Cobo Juan;UDI;A;;10:10;100;370
53;Gazmuri Vieira Ana María;IND;A;;11:22;100;370
54;Giordano Salazar Andrés;IND;A;;10:17;100;370
55;González Gatica Félix;PEV;A;;10:37;100;370
56;González Olea Marta;IND;I;;-;100;370
57;González Villarroel Mauro;RN;A;;10:10;100;370
58;Guzmán Zepeda Jorge;EVOP;A;;10:21;100;370
59;Hertz Cádiz Carmen;PC;I;IG;-;100;370
