ID;Nombre;Partido;Asistencia;Observacion;Hora Ingreso;ID_Sesion;ID_Legislatura
1;Acevedo Sáez María Candelaria;PC;A;;17:18;1;371
2;Aedo Jeldres Eric;DC;A;;17:21;1;371
3;Ahumada Palma Yovana;PDG;A;;17:02;1;371
4;Alessandri Vergara Jorge;UDI;A;;17:11;1;371
5;Alinco Bustos René;IND;A;;17:02;1;371
6;Araya Guerrero Jaime;IND;A;;17:02;1;371
7;Araya Lerdo De Tejada Cristián;PREP;A;;17:02;1;371
8;Arce Castro Mónica;IND;A;;17:11;1;371
9;Arroyo Muñoz Roberto;PDG;A;;17:04;1;371
10;Astudillo Peiretti Danisa;PS;A;;17:07;1;371
11;Barchiesi Chávez Chiara;PREP;A;;17:02;1;371
12;Barrera Moreno Boris;PC;A;;17:03;1;371
13;Barría Angulo Héctor;DC;A;;17:02;1;371
14;Becker Alvear Miguel Ángel;RN;A;;17:02;1;371
15;Bello Campos María Francisca;PCS;A;;17:19;1;371
16;Beltrán Silva Juan Carlos;RN;A;;17:02;1;371
17;Benavente Vergara Gustavo;UDI;A;;17:09;1;371
18;Berger Fett Bernardo;IND;A;;17:02;1;371
19;Bernales Maldonado Alejandro;LIBERAL;A;;17:02;1;371
20;Bianchi Chelech Carlos;IND;A;;17:02;1;371
21;Bobadilla Muñoz Sergio;UDI;A;;17:02;1;371
22;Bórquez Montecinos Fernando;UDI;A;;17:02;1;371
23;Bravo Castro Ana María;PS;A;;17:08;1;371
24;Bravo Salinas Marta;UDI;A;;17:02;1;371
25;Brito Hasbún Jorge;PRD;A;;17:06;1;371
26;Bugueño Sotelo Félix;FRVS;A;;17:05;1;371
27;Bulnes Núñez Mercedes;IND;A;;17:02;1;371
28;Calisto Águila Miguel Ángel;IND;A;;17:02;1;371
29;Camaño Cárdenas Felipe;IND;A;;17:06;1;371
30;Cariola Oliva Karol;PC;A;;17:08;1;371
31;Carter Fernández Álvaro;UDI;A;;17:02;1;371
32;Castillo Rojas Nathalie;PC;A;;17:05;1;371
33;Castro Bascuñán José Miguel;RN;I;MO;-;1;371
34;Celis Montt Andrés;RN;A;;17:02;1;371
35;Cicardini Milla Daniella;PS;A;;17:02;1;371
36;Cid Versalovic Sofía;RN;A;;17:02;1;371
37;Cifuentes Lillo Ricardo;DC;A;;17:02;1;371
38;Coloma Álamos Juan Antonio;UDI;A;;17:09;1;371
39;Concha Smith Sara;PSC;A;;17:03;1;371
40;Cordero Velásquez María Luisa;IND;A;;17:02;1;371
41;Cornejo Lagos Eduardo;UDI;A;;17:03;1;371
42;Cuello Peña Y Lillo Luis Alberto;PC;A;;17:08;1;371
43;De La Carrera Correa Gonzalo;IND;A;;17:02;1;371
44;De Rementería Venegas Tomás;IND;A;;17:02;1;371
45;Del Real Mihovilovic Catalina;RN;A;;17:02;1;371
46;Delgado Riquelme Viviana;PEV;A;;17:11;1;371
47;Donoso Castro Felipe;UDI;A;;17:02;1;371
48;Durán Espinoza Jorge;RN;A;;17:02;1;371
49;Durán Salinas Eduardo;RN;A;;17:51;1;371
50;Flores Oporto Camila;RN;I;LM;-;1;371
51;Fries Monleón Lorena;IND;I;LM;-;1;371
52;Fuenzalida Cobo Juan;UDI;A;;17:07;1;371
53;Gazmuri Vieira Ana María;PAH;A;;17:02;1;371
54;Giordano Salazar Andrés;IND;A;;17:54;1;371
55;González Gatica Félix;PEV;A;;17:02;1;371
56;González Olea Marta;IND;A;;17:18;1;371
57;González Villarroel Mauro;RN;A;;17:02;1;371
58;Guzmán Zepeda Jorge;EVOP;A;;17:02;1;371
59;Hertz Cádiz Carmen;PC;A;;17:02;1;371
60;Hirsch Goldschmidt Tomás;PAH;A;;17:48;1;371
61;Ibáñez Cotroneo Diego;PCS;I;APLP;-;1;371
62;Ilabaca Cerda Marcos;PS;A;;17:02;1;371
63;Irarrázaval Rossel Juan Manuel;PREP;A;;17:03;1;371
64;Jiles Moreno Pamela;PH;A;;17:02;1;371
65;Jouannet Valderrama Andrés;IND;A;;17:02;1;371
66;Jürgensen Rundshagen Harry;IND;I;MO;-;1;371
67;Kaiser Barents-Von Hohenhagen Johannes;IND;A;;17:02;1;371
68;Labbé Martínez Cristian;UDI;A;;17:11;1;371
69;Labra Besserer Paula;IND;A;;17:02;1;371
70;Lagomarsino Guzmán Tomás;IND;A;;17:14;1;371
71;Lavín León Joaquín;UDI;A;;18:19;1;371
72;Leal Bizama Henry;UDI;A;;17:27;1;371
73;Lee Flores Enrique;PRI;A;;18:20;1;371
74;Leiva Carvajal Raúl;PS;A;;17:02;1;371
75;Lilayu Vivanco Daniel;UDI;A;;17:02;1;371
76;Longton Herrera Andrés;RN;A;;17:06;1;371
77;Malla Valenzuela Luis;LIBERAL;A;;17:02;1;371
78;Manouchehri Lobos Daniel;PS;A;;17:02;1;371
79;Martínez Ramírez Cristóbal;UDI;A;;17:02;1;371
80;Marzán Pinto Carolina;PPD;A;;17:02;1;371
81;Matheson Villán Christian;IND;I;MO;-;1;371
82;Medina Vásquez Karen;PDG;A;;17:15;1;371
83;Mellado Pino Cosme;PRSD;A;;17:24;1;371
84;Mellado Suazo Miguel;RN;A;;17:02;1;371
85;Melo Contreras Daniel;PS;A;;18:18;1;371
86;Meza Pereira José Carlos;PREP;A;;17:02;1;371
87;Mirosevic Verdugo Vlado;LIBERAL;A;;17:02;1;371
88;Mix Jiménez Claudia;COMUNES;I;MO;-;1;371
89;Molina Milman Helia;PPD;A;;17:19;1;371
90;Morales Alvarado Javiera;CS;A;;17:02;1;371
91;Morales Maldonado Carla;RN;A;;17:02;1;371
92;Moreira Barros Cristhian;UDI;A;;17:02;1;371
93;Moreno Bascur Benjamín;PREP;A;;17:02;1;371
94;Mulet Martínez Jaime;FRVS;A;;17:03;1;371
95;Muñoz González Francesca;RN;A;;17:12;1;371
96;Musante Müller Camila;IND;A;;18:17;1;371
97;Naranjo Ortiz Jaime;PS;A;;17:02;1;371
98;Naveillan Arriagada Gloria;PDG;A;;17:53;1;371
99;Nuyado Ancapichún Emilia;PS;A;;17:02;1;371
100;Ñanco Vásquez Ericka;PRD;A;;17:02;1;371
101;Ojeda Rebolledo Mauricio;IND;A;;17:14;1;371
102;Olivera De La Fuente Erika;IND;A;;17:02;1;371
103;Orsini Pascal Maite;PRD;A;;18:59;1;371
104;Ossandón Irarrázabal Ximena;RN;A;;17:02;1;371
105;Oyarzo Figueroa Rubén Darío;PDG;A;;17:24;1;371
106;Palma Pérez Hernán;IND;A;;17:02;1;371
107;Pérez Cartes Marlene;IND;A;;17:02;1;371
108;Pérez Olea Joanna;DC;A;;17:02;1;371
109;Pérez Salinas Catalina;PRD;A;;17:12;1;371
110;Pino Fuentes Víctor Alejandro;PDG;A;;17:12;1;371
111;Pizarro Sierra Lorena;PC;A;;17:02;1;371
112;Placencia Cabello Alejandra;PC;A;;17:02;1;371
113;Pulgar Castillo Francisco;IND;A;;17:04;1;371
114;Ramírez Diez Guillermo;UDI;A;;17:45;1;371
115;Ramírez Pascal Matías;PC;A;;17:02;1;371
116;Raphael Mora Marcia;RN;A;;17:03;1;371
117;Rathgeb Schifferli Jorge;RN;A;;17:02;1;371
118;Rey Martínez Hugo;RN;A;;17:02;1;371
119;Riquelme Aliaga Marcela;IND;A;;17:18;1;371
120;Rivas Sánchez Gaspar;PDG;A;;18:47;1;371
